cid	frag_id2mol_inx
5287182	{"0": [5, 6], "4": [7, 19], "5": [19, 20], "7": [0, 1, 2, 3, 4, 5, 21], "8": [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}
20393803	{"0": [0, 1, 2], "2": [1, 3], "3": [3, 4, 5], "5": [3, 6], "6": [6, 7], "7": [7, 8], "8": [8, 9], "9": [7, 10], "10": [3], "11": [7]}
21401959	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [4, 5], "5": [3, 6], "6": [9, 12], "7": [12, 13], "8": [13, 14, 15], "10": [13, 16], "11": [16, 17], "12": [2, 23], "13": [26, 29], "14": [29, 30], "15": [30, 31], "16": [31, 32], "17": [31, 33], "18": [33, 34], "19": [34, 35], "20": [7, 8, 9, 10, 11, 6], "21": [18, 19, 20, 21, 22, 17], "22": [24, 25, 26, 27, 28, 23], "23": [2], "24": [3], "25": [13], "26": [31]}
15480910	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [4, 5], "5": [5, 6], "6": [10, 12], "7": [12, 13], "8": [13, 14], "9": [9, 15], "10": [16, 17, 15], "12": [7, 18], "13": [18, 19], "14": [19, 20], "15": [6, 21], "16": [21, 22], "17": [21, 23], "18": [23, 24], "19": [24, 25], "20": [6, 11, 10, 9, 8, 7], "21": [6], "22": [21]}
25007344	{"0": [0, 1, 2], "2": [1, 3], "3": [6, 9], "4": [9, 10], "5": [10, 11], "6": [10, 12], "7": [15, 17], "8": [17, 18], "9": [18, 19], "10": [18, 20], "11": [28, 29], "12": [29, 30], "13": [30, 31], "14": [31, 32], "15": [27, 33], "16": [33, 34, 35], "18": [3, 8, 7, 6, 5, 4], "19": [13, 12, 16, 15, 14], "20": [20, 21, 22, 23, 24, 25, 26, 27, 28], "21": [10], "22": [18]}
18029384	{"1": [3, 4], "2": [4, 5], "3": [5, 6], "5": [5, 13], "6": [13, 14], "7": [13, 15], "8": [15, 16], "9": [16, 17], "10": [4, 23], "11": [23, 24], "12": [23, 25], "13": [25, 26], "14": [26, 27], "15": [27, 28], "16": [28, 29], "17": [25, 30], "18": [30, 31], "19": [31, 32], "20": [31, 33], "21": [33, 34], "22": [34, 35, 36, 37], "25": [0, 1, 2, 3], "26": [6, 7, 8, 9, 10, 11, 12], "27": [18, 19, 20, 21, 22, 17], "28": [4], "29": [5], "30": [13], "31": [23], "32": [25], "33": [31]}
4384958	{"0": [3, 6], "1": [8, 6, 7], "3": [6, 9], "4": [9, 10], "5": [10, 11], "6": [11, 12, 13, 14], "9": [0, 5, 4, 3, 2, 1], "10": [6]}
6468823	{"1": [4, 7], "2": [8, 9, 7], "4": [7, 10], "5": [10, 11], "9": [0, 1, 2, 3, 4, 5, 6, 19], "10": [11, 12, 13, 14, 15, 16, 17, 18], "11": [7]}
24226358	{"0": [0, 1, 2], "2": [1, 3], "3": [6, 9], "5": [26, 31], "7": [3, 4, 5, 6, 7, 8, 37], "8": [9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], "9": [32, 33, 34, 35, 36, 31]}
19375211	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [4, 5], "5": [5, 6], "6": [5, 7], "7": [7, 8], "8": [5, 9], "9": [9, 10], "10": [10, 11, 12], "12": [9, 13], "13": [5], "14": [9]}
